,,before,sentence,after,final
104,1105,"Filled in trucks, taken to a uninhabited place, burning petrol fountains on them and burning those corpses was such a terrible condition.",The terrible smell… Hindu women in places where people refused to go.,Yatra (Dhind) was taken out.,oppression
105,1106,Imagine the situation of those Kashmiri Pandits when their houses were scattered.,Daggies on the gas stove and utensils were thrown around in the kitchen.,The doors of the houses were open.,none
106,1107,No search operations are conducted without informing or telling the local police here.,"The terrorists take full advantage of this, because the jihadis sitting in the Kashmir Police mostly steal information and drive away terrorists.","After being fueled by the police and the judges here, the boys pelt stones on army / half-army trains.",none
107,1108,Wah re Hindutva.,"Delhi's capital, Delhi's capital.",Delhi's capital.,none
108,1109,"Illegal infiltrators in India are being given all the facilities of minority, secondly  And Hindus living in Bangladesh are being tortured fiercely.","Advocate # Mr. Ravindra Ghosh, President of Bangladesh Minority Watch said that since Bangladesh 🚩  became independent, till date more than 1.5 million Hindus have been killed there.","Ever since independence, since the rule there, in the Constitution, in accordance with Islam, the practice of Islam infiltrated the clause, the rights of the religious freedom of the Hindus have been continuously being denied.",oppression
109,1110,"Pakistan is also incomplete without Hyderabad, Junagadh and Mumbai (Maharashtra) because these states (in 1949) declared merger with Pakistan. . * * But liberate the Hindus from their occupation, and their Muslim population will be assured that this is our goal for the fulfillment of Pakistan.",We will continue to propagate this mission in India through speech and pen and by jihad in those states Will take it back.,"”* (Sarin, p. 312) Perhaps that's why Pakistan",none
110,1111,"But it is not mentioned on any media channel, not in any newspaper.",Now you think that if a fish eats a person someday?,"That fish will be mentioned on every Abkhar, every news channel that a fish has eaten a man.",none
111,1112,"Allama Iqbal himself has narrated the violent tale of Islamic imperialism in his Shikwa poem, how the sword spread Islam.",But who raised a sword in your name?,Who made the matter that was spoiled?,none
112,1113,The name of the attacker is Azad Mohammad ... Muslim.,"He rents his house to Veeru (Hindu), along with Veeru lived with his wife Sunita and son Akash and a young daughter.",Sunita's daughter was playing on the terrace.,none
113,1114,"These Makkars give rise to a fanciful culture called ""Gangajamuni Tehzeeb"" to cover the crimes of Muslims, and for the sake of votes.",It has been given.,Which never existed.,none
114,1115,"Doing jihad  People have also been opposing the law of having only one child in China, here, Uingar Muslims of Turkic origin conspired to shed blood of Chinese citizens by taking terror training in the tribal areas of Pakistan, but seeing the whole world burning in Islamic fire The Chinese government has taken a lesson and has adopted a policy of tremendous repression on the Muslims here; Muslims have been banned from wearing beards and even fasting, and since the violent incidents in Myanmar, now almost the whole world There has been a huge tension among Buddhists and Muslims in which Ashin Virathu has emerged as a hero of the Buddhist world and a big villain for the Jihadi world, after several surveys conducted in Myanmar it has been proved that the public and Buddhist monks Together, Virathu himself says that he neither believes in spreading hatred nor is a supporter of violence, but how long can we keep silence and face all the violence and atrocities?","Therefore, he is now roaming all over the country teaching the monks and the generals that if we are weak today, we will become refugees in our own country.","Articles are being published in the newspapers for his condemnation, but it does not matter to the revered Charan Ashin Virathu.",culture
115,1116,* * In these two years two Pakistan became?,Just like this happened to the Hindus of Bengal before the partition of Bengal?,And later Indira-Sarkar gave Bangladesh to her in-laws by making peace agreement?,none
116,1117,In which 62 Hindus were burnt alive.,"* * But you heard people crying over the Gujarat riots, talking on the sorrow and pain of those 62 families or putting their petitions in court?","* Boko Haram Muslim organization * A city in Nigeria I shot over 10,000 people standing in line.",oppression
117,1118,"(25) Putting the stamps on the hearts and ears of the Kafirs themselves, sparing them the guile forever.","(24) At least five times a day, the cleric's Bang (Azan) listens loudly.","(26) Sometimes, to prove himself, he forgets who he is and starts eating the vows of another Allah.",none
118,1119,* * Vote very thoughtfully!,* Jai Hind.,Jai Bharat.. Vande Mataram.,none
119,1120,"A NIA spokesperson said in a statement that a charge sheet has been filed against the accused under the Penal Code, the Unlawful Activities 👍  (Prevention) Act and the Foreign Civil Act.",Read full news here- http://v.duta.us/iIxHdAAA * News on messenger: * * Add to your group + 916385183296 * Reply to this message to like and type 👍 Type Stop to Stop,,action
120,1121,"New deals in the region, not the new weapons, equipment, combat logistic aircraft the army is getting, AWACS (Airborne Early Warning and Control System), nor the BMD (Ballistic Missile Defense) system being developed for the defense of the country.","MIRV (Multiple Independent Targets) of intercontinental ballistic missiles being developed to give boost to nuclear capability Portable re-entry vehicle), not the successes achieved by India in global diplomacy, nor India's becoming a member of groups such as MTCR, Australian group Wassenar agreement, if they mean freedom to have four wives, three divorces, By bringing more and more Kafir girls to Islam by converting more and more madrasas and mosques, cemeteries, they mean illegal Bangladeshis and Rohingya intruders settling in India to increase the Muslim population and increase the Kafirs on this land As soon as Islam was captured, they got three parts of India in the name of religion and now they are trying to grab a part of what Hindus have got, and Hindus have not yet understood that their existence by wearing a blanket of secularism.","The future is in crisis, every person who tries to explain this reality seems to be a sarcastic sectarian who wants to spoil the nation's harmony, the problem is that today's written study is highly educated.",culture
121,1122,This pre-published article is being republished.),Gajwa-e-Hind i.e.,"the old dream of conquering India, the plan of different stages of the wicked eyes has been going on for centuries.",none
122,1123,",, * * Necrophilia is a mental illness * * In which a person rapes # dead body ie # dead body, # * If psychologists believe, this disease would normally happen to one in every 10 lakh persons.","Is ,, * * But # every # tenth person in Islam is a victim of necrophilia ,, * * If alive, if the girl's body was also found alive, * then they will definitely rape, * * Egyptian Empress #Cleopatra who The world was stunned by her death, * * Why would a woman in a naked state bash her # snake with a # snake, * * But she knew that the people who attacked Egypt are the people of the Islamic army, * * By killing the breasts on the breast, the poison will spread throughout the body, * * So no fear of infection # will not be able to vandalize the body with its dead body, * * Also will not be able to crush the breast in the mouth ,, Can they go to any extent, * * still tell you that * * Historians say that her body was raped # three thousand times Was, ,, * * Rani # Padmavati also chose Jauhar instead of fighting and dying ,, * * The queen knew what would happen to her body if she and her fellow women gave life while fighting, * * Rather The world knows this reality, it has been hidden from our children only, Necrophilia, * * Those who are famous for their #loveness and lust all over the world, who do not leave their bodies without rape, * * Our sisters There is only one plea from this affair, ✒ 📚 📚  🙏 🇮 🔱 🐚 🕉   🏹   🇳   🚩   📚   📚   ✒  📚  📚  📚  📚  that,, not all are the same *, So remember # Cleopatra and Queen Padmavati ,,, 4",,culture
